sample,pedestal,weight,temp
T1-01,1,10.25,25.7
T1-02,1,16.353,77.9 F
T1-03,1,13.541,25.5
T1-04,1,7.904,25.2
T1-05,1,11.32,25.2
T1-06,1,8.717,78 F
T1-07,1,7.409,78 F
T1-08,1,9.883,77.9 F
T1-09,1,7.2,25.6
T1-10,1,9.065,78 F
T1-11,2,7.536,25.4
T1-12,2,9.637,78 F
T1-13,2,9.599,25.7
T1-14,2,9.366,25.7
T1-15,2,8.701,25.7
P1-01,1,5.715,25.8
P1-02,1,4.192,25.8
P1-03,1,5.476,25.7
P1-04,1,4.31,25.8
P1-05,1,5.255,25.8
P1-06,1,7.222,25.8
P1-07,1,4.187,25.8
P1-08,1,4.06,25.8
P1-09,1,5.089,25.8
P1-10,1,6.133,25.8
P1-11,1,5.782,25.8
P1-12,1,4.465,25.8
P1-13,1,5.931,25.8
P1-14,1,4.137,25.8
P1-15,1,4.413,25.7
T2-01,1,4.132,25.3
T2-02,1,4.834,25.3
T2-03,1,4.973,78.6 F
T2-04,1,5.894,25.7
T2-05,1,4.148,25.7
T2-06,1,5.436,25.8
T2-07,1,6.502,77.9 F
T2-08,1,5.646,25.7
T2-09,1,4.35,25.3
T2-10,1,5.334,25.7
T2-11,1,5.241,25.7
T2-12,1,7.98,25.7
T2-13,1,5.687,26
T2-14,1,5.209,25.3
T2-15,1,5.098,77.9 F
P2-01,2,5.392,25.3
P2-02,2,6.719,25.5
P2-03,2,4.604,25.5
P2-04,2,6.516,78 F
P2-05,2,7.097,78 F
P2-06,2,5.956,78 F
P2-07,2,5.352,78 F
P2-08,2,5.006,77.9 F
P2-09,2,6.918,25.7
P2-10,2,5.819,78 F
P2-11,2,4.693,78 F
P2-12,2,5.106,25.3
P2-13,2,4.524,25.3
P2-14,2,5.486,78 F
P2-15,2,5.771,78 F 
