FragID,pedestal ,weight,temp,TimePoint,session ,date
T1-01,1,10.25,25.7,1,T1.1,7/1/22
T1-02,1,16.353,25.5,1,T1.2,7/1/22
T1-03,1,13.541,25.5,1,T1.1,7/1/22
T1-04,1,7.904,25.2,1,T1.1,7/1/22
T1-05,1,11.32,25.2,1,T1.1,7/1/22
T1-06,1,8.717,25.55555556,1,T1.2,7/1/22
T1-07,1,7.409,25.55555556,1,T1.2,7/1/22
T1-08,1,9.883,25.5,1,T1.2,7/1/22
T1-09,1,7.2,25.6,1,T1.1,7/1/22
T1-10,1,9.065,25.55556,1,T1.1,7/1/22
T1-11,2,7.536,25.4,1,T1.1,7/1/22
T1-12,2,9.637,25.55555556,1,T1.1,7/1/22
T1-13,2,9.599,25.7,1,T1.1,7/1/22
T1-14,2,9.366,25.7,1,T1.1,7/1/22
T1-15,2,8.701,25.7,1,T1.1,7/1/22
P1-01,1,5.715,25.8,1,T1.1,7/1/22
P1-02,1,4.192,25.8,1,T1.1,7/1/22
P1-03,1,5.476,25.7,1,T1.1,7/1/22
P1-04,1,4.31,25.8,1,T1.1,7/1/22
P1-05,1,5.255,25.8,1,T1.1,7/1/22
P1-06,1,7.222,25.8,1,T1.1,7/1/22
P1-07,1,4.187,25.8,1,T1.1,7/1/22
P1-08,1,4.06,25.8,1,T1.1,7/1/22
P1-09,1,5.089,25.8,1,T1.1,7/1/22
P1-10,1,6.133,25.8,1,T1.1,7/1/22
P1-11,1,5.782,25.8,1,T1.1,7/1/22
P1-12,1,4.465,25.8,1,T1.1,7/1/22
P1-13,1,5.931,25.8,1,T1.1,7/1/22
P1-14,1,4.137,25.8,1,T1.1,7/1/22
P1-15,1,4.413,25.7,1,T1.1,7/1/22
T2-01,1,4.132,25.3,1,T1.1,7/1/22
T2-02,1,4.834,25.3,1,T1.1,7/1/22
T2-03,1,4.973,25.88888889,1,T1.1,7/1/22
T2-04,1,5.894,25.7,1,T1.1,7/1/22
T2-05,1,4.148,25.7,1,T1.1,7/1/22
T2-06,1,5.436,25.8,1,T1.1,7/1/22
T2-07,1,6.502,25.5,1,T1.2,7/1/22
T2-08,1,5.646,25.7,1,T1.1,7/1/22
T2-09,1,4.35,25.3,1,T1.1,7/1/22
T2-10,1,5.334,25.7,1,T1.1,7/1/22
T2-11,1,5.241,25.7,1,T1.1,7/1/22
T2-12,1,7.98,25.7,1,T1.1,7/1/22
T2-13,1,5.687,26,1,T1.1,7/1/22
T2-14,1,5.209,25.3,1,T1.1,7/1/22
T2-15,1,5.098,25.5,1,T1.2,7/1/22
P2-01,2,5.392,25.3,1,T1.1,7/1/22
P2-02,2,6.719,25.5,1,T1.1,7/1/22
P2-03,2,4.604,25.5,1,T1.2,7/1/22
P2-04,2,6.516,25.55555556,1,T1.2,7/1/22
P2-05,2,7.097,25.55555556,1,T1.1,7/1/22
P2-06,2,5.956,25.55555556,1,T1.1,7/1/22
P2-07,2,5.352,25.55555556,1,T1.1,7/1/22
P2-08,2,5.006,25.5,1,T1.1,7/1/22
P2-09,2,6.918,25.7,1,T1.1,7/1/22
P2-10,2,5.819,25.55555556,1,T1.2,7/1/22
P2-11,2,4.693,25.55555556,1,T1.2,7/1/22
P2-12,2,5.106,25.3,1,T1.1,7/1/22
P2-13,2,4.524,25.3,1,T1.1,7/1/22
P2-14,2,5.486,25.55555556,1,T1.1,7/1/22
P2-15,2,5.771,25.55555556,1,T1.1,7/1/22
T1-01,1,11.149,26,2,T1.1,7/27/22
T1-02,1,17.035,26.16666667,2,T1.1,7/27/22
T1-03,1,14.191,27,2,T2.1,7/27/22
T1-04,1,8.461,26.5,2,T2.2,7/27/22
T1-05,1,12.295,26.22222222,2,T2.2,7/27/22
T1-06,1,9.524,26.55555556,2,T2.1,7/27/22
T1-07,1,8.947,25.66666667,2,T2.1,7/27/22
T1-08,1,10.427,25.66666667,2,T2.1,7/27/22
T1-09,1,8.539,26.72222222,2,T2.1,7/27/22
T1-10,1,10.335,27,2,T2.1,7/27/22
T1-11,2,8.583,27,2,T2.1,7/27/22
T1-12,2,10.971,26.38888889,2,T2.2,7/27/22
T1-13,2,10.179,26,2,T2.2,7/27/22
T1-14,2,10.453,25.66666667,2,T2.1,7/27/22
T1-15,2,10.106,26.38888889,2,T2.2,7/27/22
P1-01,1,6.614,25.88888889,2,T2.1,7/27/22
P1-02,1,4.87,27,2,T2.1,7/27/22
P1-03,1,6.134,27,2,T2.1,7/27/22
P1-04,1,3.83,26.5,2,T2.1,7/27/22
P1-05,1,5.756,27,2,T2.1,7/27/22
P1-06,1,7.878,25.77777778,2,T2.1,7/27/22
P1-07,1,5.121,26.38888889,2,T2.1,7/27/22
P1-08,1,4.925,26.38888889,2,T2.1,7/27/22
P1-09,1,5.974,26.5,2,T2.1,7/27/22
P1-10,1,6.681,26.83333333,2,T2.1,7/27/22
P1-11,1,6.663,26.38888889,2,T2.1,7/27/22
