FragID,sym
T1-01,CD
T1-02,CD
T1-03,C
T1-04,CD
T1-05,C
T1-06,
T1-07,CD
T1-08,C
T1-09,CD
T1-10,CD
T1-11,C
T1-12,C
T1-13,CD
T1-14,C
T1-15,
P1-01,C
P1-02,C
P1-03,CD
P1-04,D
P1-05,D
P1-06,C
P1-07,C
P1-08,C
P1-09,D
P1-10,C
P1-11,C
P1-12,C
P1-13,C
P1-14,D
P1-15,CD
T2-01,
T2-02,D
T2-03,
T2-04,D
T2-05,
T2-06,C
T2-07,C
T2-08,D
T2-09,D
T2-10,D
T2-11,
T2-12,D
T2-13,
T2-14,
T2-15,D
P2-01,C
P2-02,C
P2-03,C
P2-04,C
P2-05,C
P2-06,C
P2-07,C
P2-08,C
P2-09,C
P2-10,C
P2-11,C
P2-12,C
P2-13,C
P2-14,C
P2-15,C
