* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = TAQMAN
* Date Created = 2022-08-17 10:41:07 AM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\coral_05.eds
* Experiment Name = Quantification-TaqMan
* Experiment Run End Time = 2022-08-16 14:42:53 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	PRFLOW	NOISE	HIGHSD	NOAMP	PRFDROP
1	A1	false	T2-01	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
1	A1	false	T2-01	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	N
2	A2	false	T2-01	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
2	A2	false	T2-01	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	N
3	A3	false	T2-15	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	38.696									false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
3	A3	false	T2-15	D	UNKNOWN	FAM	NFQ-MGB	33.588	32.214	1.943								false	0.010	true	3	32	Amp		N	N	N	Y	N	N
4	A4	false	T2-15	C	UNKNOWN	VIC	NFQ-MGB	38.696	38.696									false	0.010	true	3	39	Inconclusive		Y	N	N	N	N	N
4	A4	false	T2-15	D	UNKNOWN	FAM	NFQ-MGB	30.840	32.214	1.943								false	0.010	true	3	31	Amp		N	N	N	Y	N	N
5	A5	false	T2-14:10	C	UNKNOWN	VIC	NFQ-MGB	38.050	38.050									false	0.010	true	3	39	Inconclusive		Y	N	N	N	N	N
5	A5	false	T2-14:10	D	UNKNOWN	FAM	NFQ-MGB	31.487	32.004	0.731								false	0.010	true	3	30	Amp		N	N	N	Y	N	N
6	A6	false	T2-14:10	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	38.050									false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
6	A6	false	T2-14:10	D	UNKNOWN	FAM	NFQ-MGB	32.521	32.004	0.731								false	0.010	true	3	31	Amp		N	N	N	Y	N	N
7	A7	false	T2-13:100	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	36.927									false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
7	A7	false	T2-13:100	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	33.856									false	0.010	true	3	39	No Amp		Y	N	N	N	N	N
8	A8	false	T2-13:100	C	UNKNOWN	VIC	NFQ-MGB	36.927	36.927									false	0.010	true	3	35	Inconclusive		N	N	N	N	N	N
8	A8	false	T2-13:100	D	UNKNOWN	FAM	NFQ-MGB	33.856	33.856									false	0.010	true	3	32	Inconclusive		N	N	N	N	N	N
13	B1	false	T2-03	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
13	B1	false	T2-03	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
14	B2	false	T2-03	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
14	B2	false	T2-03	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	N
15	B3	false	T2-01:10	C	UNKNOWN	VIC	NFQ-MGB	33.581	34.047	0.660								false	0.010	true	3	32	Amp		N	N	N	Y	N	N
15	B3	false	T2-01:10	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
16	B4	false	T2-01:10	C	UNKNOWN	VIC	NFQ-MGB	34.514	34.047	0.660								false	0.010	true	3	33	Amp		N	N	N	Y	N	N
16	B4	false	T2-01:10	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
17	B5	false	T2-15:10	C	UNKNOWN	VIC	NFQ-MGB	39.884	37.060	3.994								false	0.010	true	3	39	No Amp		Y	N	N	Y	Y	N
17	B5	false	T2-15:10	D	UNKNOWN	FAM	NFQ-MGB	31.848	31.309	0.763								false	0.010	true	3	30	Amp		N	N	N	Y	N	N
18	B6	false	T2-15:10	C	UNKNOWN	VIC	NFQ-MGB	34.236	37.060	3.994								false	0.010	true	3	33	Amp		N	N	N	Y	N	N
18	B6	false	T2-15:10	D	UNKNOWN	FAM	NFQ-MGB	30.769	31.309	0.763								false	0.010	true	3	29	Amp		N	N	N	Y	N	N
19	B7	false	T2-14:100	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
19	B7	false	T2-14:100	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	29	No Amp		N	N	N	N	Y	N
20	B8	false	T2-14:100	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
20	B8	false	T2-14:100	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
25	C1	false	T2-05	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
25	C1	false	T2-05	D	UNKNOWN	FAM	NFQ-MGB	39.868	38.772	1.550								false	0.010	true	3	39	No Amp		Y	N	N	Y	N	N
26	C2	false	T2-05	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
